datetime,request
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:25:06 -0500,OPTIONS * HTTP/1.0
30/Dec/2012:06:34:16 -0500,GET / HTTP/1.1
30/Dec/2012:06:34:56 -0500,GET / HTTP/1.1
30/Dec/2012:06:37:07 -0500,GET /.git/objects/01/ HTTP/1.1
30/Dec/2012:06:41:22 -0500,GET /ignite/ HTTP/1.1
30/Dec/2012:06:43:55 -0500,GET /.git/objects/2d/?C=M;O=D HTTP/1.1
30/Dec/2012:06:56:33 -0500,GET /.git/objects/33/1e51686a8d4e9f86bcd865f8e7bfb88d7ca200 HTTP/1.1
30/Dec/2012:07:10:45 -0500,GET /.git/objects/34/4629c82c3c59069391abae7a9e18d6eeb8a822 HTTP/1.1
30/Dec/2012:07:19:15 -0500,GET /.git/objects/34/8f40c5a0c0e1335e3834065d93275ce70296ce HTTP/1.1
30/Dec/2012:07:33:43 -0500,GET /.git/objects/35/11e315f250ab926e175fa59b95b2300586b369 HTTP/1.1
30/Dec/2012:07:36:33 -0500,GET / HTTP/1.1
30/Dec/2012:07:37:19 -0500,GET / HTTP/1.1
30/Dec/2012:07:41:39 -0500,GET /.git/objects/3d/674617ec38c6c6fb8463e4645ab8a6b8951d31 HTTP/1.1
30/Dec/2012:07:53:24 -0500,GET /.git/objects/41/84c2c2e8b7071499f3dcdc4382fa67b9f17cac HTTP/1.1
30/Dec/2012:08:03:29 -0500,GET /.git/objects/47/?C=S;O=D HTTP/1.1
30/Dec/2012:08:16:00 -0500,GET /.git/objects/4b/?C=S;O=D HTTP/1.1
30/Dec/2012:08:25:15 -0500,GET /.git/objects/4d/87f44d72ec796fe660a45175df651db7ee2f39 HTTP/1.1
30/Dec/2012:08:36:11 -0500,GET / HTTP/1.1
30/Dec/2012:08:36:55 -0500,GET / HTTP/1.1
30/Dec/2012:08:39:16 -0500,GET /.git/objects/19/?C=S;O=A HTTP/1.1
30/Dec/2012:08:40:05 -0500,GET /words-that-work-in-ls.txt HTTP/1.0
30/Dec/2012:08:53:32 -0500,GET /.git/objects/69/?C=S;O=A HTTP/1.1
30/Dec/2012:08:58:50 -0500,GET /.git/objects/50/?C=M;O=D HTTP/1.1
30/Dec/2012:09:11:35 -0500,GET /jquery.min.js HTTP/1.1
30/Dec/2012:09:15:30 -0500,GET /.git/objects/58/?C=S;O=D HTTP/1.1
30/Dec/2012:09:21:33 -0500,GET /.git/objects/59/?C=N;O=A HTTP/1.1
30/Dec/2012:09:34:15 -0500,GET / HTTP/1.1
30/Dec/2012:09:34:55 -0500,GET / HTTP/1.1
30/Dec/2012:09:36:26 -0500,GET /.git/objects/6c/?C=M;O=A HTTP/1.1
30/Dec/2012:09:42:42 -0500,GET /.git/objects/6d/?C=M;O=D HTTP/1.1
30/Dec/2012:09:52:20 -0500,GET /contact.html HTTP/1.1
30/Dec/2012:09:53:49 -0500,GET /sitebuilder/images/Red_House174-400x600.jpg HTTP/1.1
30/Dec/2012:09:56:11 -0500,GET /.git/objects/6f/d3e95ef9ed93ba2b396198c85cf11305fe5911 HTTP/1.1
30/Dec/2012:10:00:03 -0500,GET /backbone.queryparams.js HTTP/1.1
30/Dec/2012:10:11:30 -0500,GET /.git/objects/73/?C=S;O=D HTTP/1.1
30/Dec/2012:10:17:00 -0500,GET /.git/objects/74/a95baa5eab467756f34cfb2e2d6135bcb037d3 HTTP/1.1
30/Dec/2012:10:34:16 -0500,GET / HTTP/1.1
30/Dec/2012:10:34:23 -0500,GET /.git/objects/df/?C=N;O=A HTTP/1.1
30/Dec/2012:10:34:56 -0500,GET / HTTP/1.1
30/Dec/2012:10:38:41 -0500,GET /test HTTP/1.1
30/Dec/2012:10:40:56 -0500,GET /.git/objects/72/ HTTP/1.1
30/Dec/2012:10:53:28 -0500,GET //recordings/misc/callme_page.php HTTP/1.1
30/Dec/2012:10:53:28 -0500,GET //recordings/misc/damn.php HTTP/1.1
30/Dec/2012:10:53:29 -0500,GET //recordings/misc/god.php HTTP/1.1
30/Dec/2012:10:53:29 -0500,GET //recordings/misc/callerpage.php HTTP/1.1
30/Dec/2012:10:53:47 -0500,GET /.git/objects/dd/2b8c381d36a9cc9788e6a6497262ea31563468 HTTP/1.1
30/Dec/2012:11:01:36 -0500,GET /.git/objects/e0/94a6cb79fe88ef22bd46f533be35decec80ce4 HTTP/1.1
30/Dec/2012:11:16:59 -0500,GET /.git/objects/82/?C=N;O=A HTTP/1.1
30/Dec/2012:11:23:53 -0500,GET /.git/objects/d0/?C=M;O=D HTTP/1.1
30/Dec/2012:11:30:39 -0500,GET / HTTP/1.1
30/Dec/2012:11:38:21 -0500,GET /.git/objects/91/06b1b4b6d6dcf5a0697cff5b82855f2ec1893b HTTP/1.1
30/Dec/2012:11:45:02 -0500,GET / HTTP/1.1
30/Dec/2012:11:45:59 -0500,GET / HTTP/1.1
30/Dec/2012:11:50:50 -0500,GET /.git/objects/92/?C=S;O=D HTTP/1.1
30/Dec/2012:11:57:44 -0500,GET /.git/objects/96/54e6eaf03b22a03adf30525e0303720957043d HTTP/1.1
30/Dec/2012:12:12:24 -0500,GET /.git/objects/9e/61fa7f2f14b5e6c4f4c2c6265ca7bdbc051a95 HTTP/1.1
30/Dec/2012:12:21:11 -0500,GET /.git/objects/a5/553d2c70719eb0159f54d90f395d4af6fa19c8 HTTP/1.1
30/Dec/2012:12:33:19 -0500,GET /.git/objects/7c/?C=S;O=A HTTP/1.1
30/Dec/2012:12:42:18 -0500,GET /.git/objects/aa/508ea987d8338d1cf2952a05777dc746be68c2 HTTP/1.1
30/Dec/2012:12:42:45 -0500,GET / HTTP/1.1
30/Dec/2012:12:43:25 -0500,GET / HTTP/1.1
30/Dec/2012:12:45:48 -0500,GET / HTTP/1.1
30/Dec/2012:12:49:18 -0500,GET /.git/objects/69/?C=D;O=A HTTP/1.1
30/Dec/2012:12:56:42 -0500,GET /.git/objects/77/?C=D;O=A HTTP/1.1
30/Dec/2012:13:00:15 -0500,GET /.git/refs/tags/?C=M;O=D HTTP/1.1
30/Dec/2012:13:10:09 -0500,GET /.git/refs/tags/?C=D;O=D HTTP/1.1
30/Dec/2012:13:18:02 -0500,GET /.git/refs/?C=N;O=A HTTP/1.1
30/Dec/2012:13:32:30 -0500,GET /.git/objects/ff/8134d394af697e05a87b0b4f58a9e8736cc846 HTTP/1.1
30/Dec/2012:13:34:44 -0500,GET / HTTP/1.1
30/Dec/2012:13:35:23 -0500,GET / HTTP/1.1
30/Dec/2012:13:35:55 -0500,GET /backbone-min.js HTTP/1.1
30/Dec/2012:13:40:34 -0500,GET /.git/objects/fd/?C=M;O=D HTTP/1.1
30/Dec/2012:13:54:59 -0500,GET /.git/objects/fa/?C=S;O=A HTTP/1.1
30/Dec/2012:14:01:12 -0500,GET /.git/objects/f1/?C=D;O=A HTTP/1.1
30/Dec/2012:14:11:42 -0500,GET /threshold.png HTTP/1.1
30/Dec/2012:14:32:09 -0500,GET /.git/objects/e8/c6b5c76ea045670534cb92fb9ff7ebf034b1cd HTTP/1.1
30/Dec/2012:14:33:56 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:14:33:56 -0500,GET /sitebuilder/images/Annick_Jean-146x112.jpg HTTP/1.1
30/Dec/2012:14:34:30 -0500,GET / HTTP/1.1
30/Dec/2012:14:35:11 -0500,GET / HTTP/1.1
30/Dec/2012:14:36:38 -0500,GET /.git/objects/e0/fca7c811272e10a3f73eeee4195f8f64cedd0a HTTP/1.1
30/Dec/2012:14:53:18 -0500,GET /.git/objects/dd/de77e9f00ed93c1e9793cafb53e54d6f5dc79f HTTP/1.1
30/Dec/2012:14:59:56 -0500,GET /.git/objects/d3/?C=D;O=D HTTP/1.1
30/Dec/2012:15:03:29 -0500,GET /?C=M;O=A HTTP/1.1
30/Dec/2012:15:12:04 -0500,GET /intherooms.json HTTP/1.1
30/Dec/2012:15:12:18 -0500,GET /favicon.ico HTTP/1.1
30/Dec/2012:15:12:30 -0500,GET /intherooms.json HTTP/1.1
30/Dec/2012:15:12:30 -0500,GET /intherooms.json HTTP/1.1
30/Dec/2012:15:13:10 -0500,GET /.git/objects/d1/fa72816ea6696076379a474c8cc28a259e0b4c HTTP/1.1
30/Dec/2012:15:20:17 -0500,GET /.git/objects/d1/843badfbf2f6a1565a72c81553e357b7dc6e28 HTTP/1.1
30/Dec/2012:15:34:17 -0500,GET / HTTP/1.1
30/Dec/2012:15:34:56 -0500,GET / HTTP/1.1
30/Dec/2012:15:35:09 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:15:35:10 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:15:35:10 -0500,GET /sitemap.xml HTTP/1.1
30/Dec/2012:15:35:49 -0500,GET /.git/objects/d1/40cf45c234ec63407a659e8eec720245878f9b HTTP/1.1
30/Dec/2012:15:47:54 -0500,GET /.git/objects/cb/b1e092aa7b4242413b91ca0b84fa4b1eb5da8e HTTP/1.1
30/Dec/2012:15:56:08 -0500,GET /.git/objects/c1/?C=S;O=D HTTP/1.1
30/Dec/2012:16:08:34 -0500,GET /dwb/GuideStar/Philanthropedia_Data_Dive.xlsx HTTP/1.1
30/Dec/2012:16:10:24 -0500,GET /.git/objects/b5/?C=D;O=D HTTP/1.1
30/Dec/2012:16:16:39 -0500,GET /words-that-work-in-ls.txt HTTP/1.0
30/Dec/2012:16:18:10 -0500,GET /.git/objects/84/ HTTP/1.1
30/Dec/2012:16:32:15 -0500,GET /.git/objects/72/?C=S;O=A HTTP/1.1
30/Dec/2012:16:33:49 -0500,GET / HTTP/1.1
30/Dec/2012:16:34:28 -0500,GET / HTTP/1.1
30/Dec/2012:16:34:50 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:16:38:10 -0500,GET /.git/objects/b5/6d4e1a9c775f2b51a0f13c64c5135ca3bb44de HTTP/1.1
30/Dec/2012:16:55:46 -0500,GET /.git/objects/b4/274e0a68041ae346c941068e1b538149998fc6 HTTP/1.1
30/Dec/2012:17:02:20 -0500,GET /.git/objects/b1/a7377867d6fec85bdf7e1c3842f1bb4167cbad HTTP/1.1
30/Dec/2012:17:14:32 -0500,GET /.git/objects/b0/90536fa0bf5690db2a2af5d2e2e3c7c3388edf HTTP/1.1
30/Dec/2012:17:28:09 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:17:28:33 -0500,GET /.git/objects/ac/d38a85c963a210154a02750934c221d1ccc61f HTTP/1.1
30/Dec/2012:17:30:06 -0500,GET /Abandoned_Building_Series.html HTTP/1.1
30/Dec/2012:17:30:09 -0500,GET / HTTP/1.1
30/Dec/2012:17:33:17 -0500,GET / HTTP/1.1
30/Dec/2012:17:33:55 -0500,GET / HTTP/1.1
30/Dec/2012:17:35:34 -0500,GET /.git/objects/ac/1291d1a531627b00b95927d9d80d017b07f194 HTTP/1.1
30/Dec/2012:17:52:35 -0500,GET /.git/objects/a1/e428dcf46d1bc8d78755aed44114ef9b573b65 HTTP/1.1
30/Dec/2012:17:57:44 -0500,GET /.git/objects/a0/?C=N;O=A HTTP/1.1
30/Dec/2012:18:13:20 -0500,GET /.git/objects/a8/?C=N;O=D HTTP/1.1
30/Dec/2012:18:18:51 -0500,GET /.git/objects/?C=N;O=D HTTP/1.1
30/Dec/2012:18:26:38 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:18:34:37 -0500,GET / HTTP/1.1
30/Dec/2012:18:35:17 -0500,GET / HTTP/1.1
30/Dec/2012:18:35:51 -0500,GET /.git/objects/9e/?C=M;O=D HTTP/1.1
30/Dec/2012:18:40:45 -0500,GET /favicon.ico HTTP/1.1
30/Dec/2012:18:47:26 -0500,GET /.git/objects/9c/?C=D;O=D HTTP/1.1
30/Dec/2012:18:56:11 -0500,GET /.git/objects/9a/63b6fc8ccf3b757686289942d60e4295cd4112 HTTP/1.1
30/Dec/2012:18:56:11 -0500,GET /robots.txt HTTP/1.1
30/Dec/2012:18:56:12 -0500,GET / HTTP/1.1
30/Dec/2012:18:59:25 -0500,GET /?C=N;O=D HTTP/1.1
30/Dec/2012:19:06:02 -0500,GET /esniper-2.27.0-0.src.tar.gz HTTP/1.1
30/Dec/2012:19:11:41 -0500,GET /.git/objects/8c/?C=S;O=D HTTP/1.1
30/Dec/2012:19:18:36 -0500,GET /.git/objects/8b/c2509bd6c2a01d785cf61b70e574daead46e1c HTTP/1.1
30/Dec/2012:19:25:37 -0500,GET /intherooms.csv HTTP/1.1
30/Dec/2012:19:32:01 -0500,GET /.git/objects/86/22cf7524293e6420dd140b4dc0212ce7f5dd92 HTTP/1.1
30/Dec/2012:19:32:17 -0500,GET / HTTP/1.1
30/Dec/2012:19:32:53 -0500,GET / HTTP/1.1
30/Dec/2012:19:33:34 -0500,GET /intherooms.csv HTTP/1.1
30/Dec/2012:19:38:42 -0500,GET /.git/objects/7b/?C=M;O=D HTTP/1.1
30/Dec/2012:19:54:29 -0500,GET /.git/objects/6f/c7bc7c15f50304059363e297d1278d151eaded HTTP/1.1
30/Dec/2012:19:56:15 -0500,GET /images/Raku_porcelain_planter_sprouts.jpg HTTP/1.1
30/Dec/2012:19:59:58 -0500,GET /.git/objects/6f/bd772c4d2fde20a0a5c2e46204bfe1eb4541c3 HTTP/1.1
30/Dec/2012:20:15:12 -0500,GET /.git/objects/a2/ HTTP/1.1
30/Dec/2012:20:30:01 -0500,GET /.git/objects/44/?C=M;O=A HTTP/1.1
30/Dec/2012:20:36:09 -0500,GET /.git/objects/5b/b2f45e8ecd034266f7e5d74c997e47c745c18d HTTP/1.1
30/Dec/2012:20:43:04 -0500,GET / HTTP/1.1
30/Dec/2012:20:43:43 -0500,GET / HTTP/1.1
30/Dec/2012:20:47:20 -0500,GET /intherooms.csv HTTP/1.1
30/Dec/2012:20:51:27 -0500,GET /.git/objects/5b/65f5eee3be9d7fb6a94ff183be140e7a9b27e5 HTTP/1.1
30/Dec/2012:20:58:10 -0500,GET /.git/objects/59/?C=D;O=D HTTP/1.1
30/Dec/2012:21:13:24 -0500,GET /.git/objects/56/?C=S;O=D HTTP/1.1
30/Dec/2012:21:21:00 -0500,GET /.git/objects/49/acfc3731cddcae3d46dfd35f938128b421a3a5 HTTP/1.1
30/Dec/2012:21:33:47 -0500,GET /.git/objects/3e/6b31c1200d264aaa9e5030524678162fffb428 HTTP/1.1
30/Dec/2012:21:39:47 -0500,GET / HTTP/1.1
30/Dec/2012:21:40:29 -0500,GET / HTTP/1.1
30/Dec/2012:21:47:42 -0500,GET /.git/objects/39/5d5e95c0590813a84bf9884e7dcb589eeffd63 HTTP/1.1
30/Dec/2012:21:54:19 -0500,GET /.git/objects/35/?C=D;O=D HTTP/1.1
30/Dec/2012:22:09:03 -0500,GET /.git/objects/32/?C=M;O=D HTTP/1.1
30/Dec/2012:22:18:27 -0500,GET /.git/objects/9d/?C=D;O=A HTTP/1.1
30/Dec/2012:22:26:22 -0500,GET /sitebuilder/images/digital_art_111409_copy_web-600x400.jpg HTTP/1.1
30/Dec/2012:22:31:25 -0500,GET /jquery.min.js HTTP/1.1
30/Dec/2012:22:31:53 -0500,GET /.git/objects/2f/6979559a8a2b324ef0db0abe2b6bf380e5a69f HTTP/1.1
30/Dec/2012:22:34:52 -0500,GET / HTTP/1.1
30/Dec/2012:22:35:31 -0500,GET / HTTP/1.1
30/Dec/2012:22:37:08 -0500,GET /.git/objects/1a/?C=M;O=D HTTP/1.1
30/Dec/2012:22:52:39 -0500,GET /.git/objects/15/?C=S;O=D HTTP/1.1
30/Dec/2012:22:57:48 -0500,GET /scarsdale.html HTTP/1.1
30/Dec/2012:23:00:39 -0500,GET /.git/objects/14/?C=D;O=A HTTP/1.1
30/Dec/2012:23:02:57 -0500,GET /scarsdale.html HTTP/1.1
30/Dec/2012:23:02:58 -0500,GET /jquery.min.js HTTP/1.1
30/Dec/2012:23:05:40 -0500,GET /contact.html HTTP/1.1
30/Dec/2012:23:13:50 -0500,GET /.git/objects/0c/?C=N;O=A HTTP/1.1
30/Dec/2012:23:19:53 -0500,GET /backbone.queryparams.js HTTP/1.1
30/Dec/2012:23:29:54 -0500,GET /.git/objects/0a/?C=S;O=D HTTP/1.1
30/Dec/2012:23:33:31 -0500,GET / HTTP/1.1
30/Dec/2012:23:34:10 -0500,GET / HTTP/1.1
30/Dec/2012:23:36:05 -0500,GET /.git/objects/07/dce7211320ebd11d7160b7a29bacf1e2f677ba HTTP/1.1
30/Dec/2012:23:49:08 -0500,GET /.git/hooks/pre-rebase.sample HTTP/1.1
30/Dec/2012:23:59:00 -0500,GET /.git/hooks/pre-commit.sample HTTP/1.1
31/Dec/2012:00:12:32 -0500,GET /.git/objects/30/?C=S;O=D HTTP/1.1
31/Dec/2012:00:18:33 -0500,GET /.git/?C=S;O=D HTTP/1.1
31/Dec/2012:00:32:39 -0500,GET /.git/objects/14/?C=N;O=A HTTP/1.1
31/Dec/2012:00:34:14 -0500,GET / HTTP/1.1
31/Dec/2012:00:34:57 -0500,GET / HTTP/1.1
31/Dec/2012:00:48:33 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:00:48:33 -0500,GET /wetland-pdfs/MVN-2012-0792-EOO/2012-05-24/document2012-04-30-103732.pdf HTTP/1.1
31/Dec/2012:01:01:51 -0500,GET /sitebuilder/images/Shack002-182x250.jpg HTTP/1.1
31/Dec/2012:01:11:43 -0500,GET / HTTP/1.1
31/Dec/2012:01:11:49 -0500,GET /pottery_mug_tadpole1.html HTTP/1.1
31/Dec/2012:01:15:21 -0500,GET /.git/objects/10/?C=M;O=D HTTP/1.1
31/Dec/2012:01:22:07 -0500,GET /.git/objects/76/?C=S;O=A HTTP/1.1
31/Dec/2012:01:32:57 -0500,GET / HTTP/1.1
31/Dec/2012:01:33:33 -0500,GET / HTTP/1.1
31/Dec/2012:01:38:46 -0500,GET /.git/objects/c6/586b51bf8aa8e86435ad24a47429185df245bc HTTP/1.1
31/Dec/2012:01:45:28 -0500,GET /.git/objects/d3/?C=S;O=D HTTP/1.1
31/Dec/2012:01:57:35 -0500,GET /.git/objects/d4/5d3872c7979f42979f5bbbad14a23036eebca6 HTTP/1.1
31/Dec/2012:02:12:21 -0500,GET /.git/objects/be/?C=N;O=D HTTP/1.1
31/Dec/2012:02:17:14 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:02:17:14 -0500,GET /sitebuilder/images/home_page_navigator-5-active-86828.png HTTP/1.1
31/Dec/2012:02:33:00 -0500,GET / HTTP/1.1
31/Dec/2012:02:33:39 -0500,GET / HTTP/1.1
31/Dec/2012:02:35:11 -0500,GET /.git/objects/be/661d53aefa00d050bd708c871a679a1d495c0e HTTP/1.1
31/Dec/2012:02:50:03 -0500,GET /.git/objects/d7/7f7b1e14db49ed99030fab76f0fb43554ce69a HTTP/1.1
31/Dec/2012:02:55:55 -0500,GET /.git/objects/b7/e1074840b359b628b35f7ce41faeb6eb88170c HTTP/1.1
31/Dec/2012:02:55:56 -0500,GET /backbone-min.js HTTP/1.1
31/Dec/2012:03:04:15 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:03:05:57 -0500,GET / HTTP/1.1
31/Dec/2012:03:09:09 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:03:12:20 -0500,GET / HTTP/1.1
31/Dec/2012:03:12:45 -0500,GET /.git/objects/ac/531d3c8def1115167c9b062c2bc7ac37aa0cd3 HTTP/1.1
31/Dec/2012:03:24:31 -0500,GET /.git/objects/d9/?C=N;O=A HTTP/1.1
31/Dec/2012:03:32:36 -0500,GET /.git/objects/a9/?C=N;O=D HTTP/1.1
31/Dec/2012:03:33:07 -0500,GET / HTTP/1.1
31/Dec/2012:03:33:45 -0500,GET / HTTP/1.1
31/Dec/2012:03:34:25 -0500,GET / HTTP/1.1
31/Dec/2012:03:36:25 -0500,GET /csv.svg HTTP/1.1
31/Dec/2012:03:36:38 -0500,GET /underscore-min.js HTTP/1.1
31/Dec/2012:03:47:54 -0500,GET /.git/objects/df/?C=N;O=A HTTP/1.1
31/Dec/2012:03:56:04 -0500,GET /.git/objects/ce/?C=N;O=A HTTP/1.1
31/Dec/2012:04:08:23 -0500,GET /.git/objects/c1/?C=N;O=A HTTP/1.1
31/Dec/2012:04:15:23 -0500,GET / HTTP/1.1
31/Dec/2012:04:16:46 -0500,GET / HTTP/1.1
31/Dec/2012:04:24:49 -0500,GET /.git/objects/a1/?C=S;O=A HTTP/1.1
31/Dec/2012:04:29:16 -0500,GET /.git/objects/a0/?C=M;O=D HTTP/1.1
31/Dec/2012:04:43:04 -0500,GET /.git/objects/9f/?C=M;O=D HTTP/1.1
31/Dec/2012:04:48:57 -0500,GET / HTTP/1.1
31/Dec/2012:04:49:37 -0500,GET / HTTP/1.1
31/Dec/2012:04:57:48 -0500,GET /.git/objects/68/?C=M;O=A HTTP/1.1
31/Dec/2012:04:58:21 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:05:05:17 -0500,GET /.git/objects/e2/4330ad47e900dd0b9814d47c5768d2733db69d HTTP/1.1
31/Dec/2012:05:11:11 -0500,GET / HTTP/1.1
31/Dec/2012:05:11:12 -0500,GET / HTTP/1.1
31/Dec/2012:05:12:32 -0500,GET / HTTP/1.1
31/Dec/2012:05:12:41 -0500,GET / HTTP/1.1
31/Dec/2012:05:12:42 -0500,GET / HTTP/1.1
31/Dec/2012:05:14:00 -0500,GET / HTTP/1.1
31/Dec/2012:05:19:16 -0500,GET /.git/objects/9e/f4bb6e9c6eaa0bb4c9209288b7a900e65288c0 HTTP/1.1
31/Dec/2012:05:30:35 -0500,GET /personal_statement.pdf HTTP/1.1
31/Dec/2012:05:35:39 -0500,GET /.git/objects/f5/d64accc3925ffff6bbbd121c314b992482f324 HTTP/1.1
31/Dec/2012:05:43:03 -0500,GET /.git/objects/98/?C=S;O=D HTTP/1.1
31/Dec/2012:05:45:05 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:05:55:40 -0500,GET /.git/objects/d4/?C=N;O=A HTTP/1.1
31/Dec/2012:06:00:22 -0500,GET / HTTP/1.1
31/Dec/2012:06:01:09 -0500,GET / HTTP/1.1
31/Dec/2012:06:03:08 -0500,GET /.git/objects/92/?C=S;O=D HTTP/1.1
31/Dec/2012:06:11:51 -0500,GET /robots.txt HTTP/1.1
31/Dec/2012:06:11:51 -0500,GET /images/Raku_porcelain_planter_blue_copper.jpg HTTP/1.1
31/Dec/2012:06:16:09 -0500,GET / HTTP/1.1
31/Dec/2012:06:17:58 -0500,GET /.git/objects/f9/ce2496e52630e3ed9227e058b89e519a9d0853 HTTP/1.1
31/Dec/2012:06:33:11 -0500,GET / HTTP/1.1
31/Dec/2012:06:33:18 -0500,GET /.git/objects/cd/?C=N;O=D HTTP/1.1
31/Dec/2012:06:33:50 -0500,GET / HTTP/1.1
